Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2020","2020","tonnes","2450.86","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2021","2021","tonnes","2813.8","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","1998","1998","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","1999","1999","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2000","2000","1000 US$","5","I","Imputed value"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2001","2001","1000 US$","9","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2002","2002","1000 US$","15","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2003","2003","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2004","2004","1000 US$","40","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2005","2005","1000 US$","104","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2006","2006","1000 US$","134","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2007","2007","1000 US$","227","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2008","2008","1000 US$","273","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2009","2009","1000 US$","336","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2010","2010","1000 US$","386","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2011","2011","1000 US$","502","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2012","2012","1000 US$","532","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2013","2013","1000 US$","1002","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2014","2014","1000 US$","1501","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2015","2015","1000 US$","2589","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2016","2016","1000 US$","978","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2017","2017","1000 US$","1811","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2018","2018","1000 US$","2934","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2019","2019","1000 US$","5579","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2020","2020","1000 US$","5622","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","01311","Avocados","2021","2021","1000 US$","6201","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2000","2000","tonnes","9626","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2001","2001","tonnes","6854","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2002","2002","tonnes","10242","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01311","Avocados","2003","2003","tonnes","6070","A","Official figure"
